YR,RK,SNM,SCR
2019,1,서울대학교,86.3
2019,2,연세대학교,79.7
2019,3,고려대학교,79.2
2019,4,성균관대학교,78.9
2019,5,한국과학기술원,78.7
2019,6,한양대학교,76.4
2019,7,포항공과대학교,76.1
2019,8,경희대학교,75.9
2019,9,울산대학교,75.3
2019,10,경북대학교,75.0
2019,11,부산대학교,74.8
2019,12,전남대학교,74.7
2019,13,이화여자대학교,74.1
2019,14,울산과학기술원,73.8
2019,15,건국대학교,73.6
2019,16,인하대학교,73.0
2019,17,충남대학교,73.0
2019,18,중앙대학교,72.8
2019,19,가톨릭대학교,72.8
2019,20,전북대학교,72.7
2019,21,광주과학기술원,72.6
2019,22,아주대학교,72.3
2019,23,강원대학교,72.1
2019,24,영남대학교,72.0
2019,25,경상국립대학교,71.9
2019,26,과학기술연합대학원대학교,71.5
2019,27,세종대학교,71.3
2019,28,가천대학교,71.1
2019,29,충북대학교,71.1
2019,30,동국대학교,71.0
2019,31,서강대학교,70.9
2019,32,인제대학교,70.8
2019,33,서울시립대학교,70.7
2019,34,한림대학교,70.4
2019,35,단국대학교,70.4
2019,36,순천향대학교,69.7
2019,37,동아대학교,69.6
2019,38,국립부경대학교,69.5
2019,39,숭실대학교,69.3
2019,40,조선대학교,69.2
2019,41,계명대학교,69.1
2019,42,대구경북과학기술원,69.0
2019,43,국민대학교,68.6
2019,44,제주대학교,68.5
2019,45,차의과학대학교,68.3
2019,46,광운대학교,68.0
2019,47,명지대학교,68.0
2019,48,인천대학교,67.8
2019,49,원광대학교,67.8
2019,50,국립공주대학교,67.7
2019,51,서울과학기술대학교,67.5
2019,52,대구가톨릭대학교,67.3
2019,53,한국외국어대학교,67.3
2019,54,홍익대학교,67.2
2019,55,숙명여자대학교,67.1
2019,56,국립강릉원주대학교,67.1
2019,57,을지대학교,66.9
2019,58,국립순천대학교,66.8
2019,59,국립한밭대학교,66.6
2019,60,고신대학교,66.5
2019,61,대구대학교,66.1
2019,62,경기대학교,66.0
2019,63,국립군산대학교,65.9
2019,64,가톨릭관동대학교,65.9
