Year,ID,SchName,SchType,FoundType,Region,UnivScale,Settle_UnivSettle,Settle_BookCost,Settle_SerialsCost,Settle_NonBookCost,Settle_ECost_EJournal,Settle_ECost_WebDB,Settle_ECost_SubEBook,Settle_ECost_OthERes,Settle_MatCostTot,Budget_UnivBgt,Budget_BookCost,Budget_SerialsCost,Budget_NonBookCost,Budget_ECost_EJournal,Budget_ECost_WebDB,Budget_ECost_SubEBook,Budget_ECost_OthERes,Budget_MatCostTot,CostPerStSettle_MatCost,CostPerStSettle_StCountPrev,CostPerStSettle_CostPerSt,LibBgtRt_MatCost,LibBgtRt_UnivSettle,LibBgtRt_BgtRtSettle,BgtGrowth3Y_MatCostSettle_2018A,BgtGrowth3Y_MatCostSettle_2019B,BgtGrowth3Y_MatCostSettle_2020C,BgtGrowth3Y_BgtGrowth3Y
2020,398,한국폴리텍Ⅰ대학제주캠퍼스,전문대학,사립,제주,C그룹,1881860736,0,0,0,0,0,0,0,0,1499226000,0,0,0,0,0,0,0,0,0,45,0.0,0,1881860736,0.0,2188080,0,0,0.0
2020,399,한국폴리텍Ⅱ대학남인천캠퍼스,전문대학,사립,인천,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
2020,400,한국폴리텍Ⅱ대학인천캠퍼스,전문대학,사립,인천,C그룹,11572583618,11794730,0,0,0,0,0,0,11794730,6647393000,14330000,0,0,0,0,0,0,14330000,11794730,2153,5478.3,11794730,11572583618,0.1,18000000,19590000,11794730,-15.5
2020,401,한국폴리텍Ⅱ대학화성캠퍼스,전문대학,사립,경기,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
2020,402,한국폴리텍Ⅲ대학강릉캠퍼스,전문대학,사립,강원,C그룹,3682505975,1262000,978000,0,0,0,0,0,2240000,2014674000,1113000,936000,0,0,0,0,0,2049000,2240000,116,19310.3,2240000,3682505975,0.1,4508000,6444300,2240000,-11.1
2020,403,한국폴리텍Ⅲ대학원주캠퍼스,전문대학,사립,강원,C그룹,3500793483,999720,0,0,0,0,0,0,999720,7150608000,1000000,0,0,0,0,0,0,1000000,999720,50,19994.4,999720,3500793483,0.0,3010000,4855860,999720,-9.0
2020,404,한국폴리텍Ⅲ대학춘천캠퍼스,전문대학,사립,강원,C그룹,4696773153,0,0,0,0,0,0,0,0,3518111000,3800000,0,0,0,0,0,0,3800000,0,312,0.0,0,4696773153,0.0,0,0,0,0.0
2020,405,한국폴리텍Ⅳ대학대전캠퍼스,전문대학,사립,대전,C그룹,20344335081,0,0,0,0,0,0,0,0,7161350000,0,0,0,0,0,0,0,0,0,951,0.0,0,20344335081,0.0,9029000,9926000,0,-45.0
2020,406,한국폴리텍Ⅳ대학아산캠퍼스,전문대학,사립,충남,C그룹,3466114130,0,0,0,0,0,0,0,0,1794634000,2880000,0,0,0,0,0,0,2880000,0,525,0.0,0,3466114130,0.0,4925000,4320000,0,-56.1
2020,407,한국폴리텍Ⅳ대학청주캠퍼스,전문대학,사립,충북,C그룹,3718751463,2439463,0,0,0,0,0,0,2439463,2275601000,2700000,300000,0,0,0,0,0,3000000,2439463,794,3072.4,2439463,3718751463,0.1,6019000,4500000,2439463,-35.5
2020,408,한국폴리텍Ⅳ대학충남캠퍼스,전문대학,사립,충남,C그룹,1604830265,0,0,0,0,0,0,0,0,1739998000,0,0,0,0,0,0,0,0,0,243,0.0,0,1604830265,0.0,0,0,0,0.0
