YR,ID,SNM,STYP,FND,RGN,USC,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_OE_PTH,SES_OE_PTC,SES_OE2_PTH,SES_OE2_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2023,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,287,0.0,0.0,0.0,287,0.0,0.0,0.0,0.0,0.0
2023,2,가야대학교,대학,사립,경남,C그룹,1,1.0,0,0,2.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,1.0,0,0.0,2.0,0,0,0,0.0,0.0,1,1.0,0,0.0,2.0,27.5,6,84.0,16,2.0,0.0,0.0,0.0,1787,1.100000023841858,2.0,0.0,1787,1.100000023841858,111.5,2.0,0.0,55.79999923706055
2023,3,가천대학교,대학,사립,경기,A그룹,2,8.0,0,6,16.0,0,0,0,0.0,0.0,0,8.0,0,6.0,14.0,0,0,0,0,0,2,16.0,0,12.0,30.0,0,0,0,0.0,0.0,2,16.0,0,12.0,30.0,433.0,108,756.2999877929688,156,10.0,6.0,8.0,6.0,23396,1.0,10.0,8.0,23396,0.800000011920929,1189.300048828125,21.0,12.0,36.0
2023,4,가톨릭관동대학교,대학,사립,강원,B그룹,2,1.0,0,2,5.0,0,0,0,0.0,0.0,0,0.0,0,4.0,4.0,0,0,0,0,0,2,1.0,0,6.0,9.0,0,0,0,0.0,0.0,2,1.0,0,6.0,9.0,193.0,147,631.0,125,3.0,2.0,0.0,4.0,6419,1.0,3.0,0.0,6419,0.5,824.0,6.0,6.0,68.69999694824219
2023,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,0,0.0,0,0,0.0,0,1,0,0.0,1.0,0,0.0,0,1.0,1.0,0,0,0,0,0,0,0.0,0,1.0,1.0,0,1,0,0.0,1.0,0,1.0,0,1.0,2.0,58.5,7,20.0,4,1.0,0.0,0.0,1.0,468,3.200000047683716,1.0,0.0,468,2.0999999046325684,78.5,1.0,1.0,39.29999923706055
2023,6,가톨릭대학교,대학,사립,경기,A그룹,4,12.0,1,7,24.0,0,0,0,0.0,0.0,0,1.5,0,0.0,1.5,0,0,0,0,0,4,13.5,1,7.0,25.5,0,0,0,0.0,0.0,4,13.5,1,7.0,25.5,398.5,67,217.5,47,17.0,7.0,1.5,0.0,10966,2.200000047683716,17.0,1.5,10966,1.7000000476837158,616.0,23.0,1.5,25.100000381469727
2023,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,1,1.0,0,0,2.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,1.0,0,0.0,2.0,0,0,0,0.0,0.0,1,1.0,0,0.0,2.0,42.0,7,99.0,19,2.0,0.0,0.0,0.0,1827,1.100000023841858,2.0,0.0,1827,1.100000023841858,141.0,2.0,0.0,70.5
2023,8,감리교신학대학교,대학,사립,서울,C그룹,2,0.0,0,0,2.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,2,0.0,0,0.0,2.0,0,0,0,0.0,0.0,2,0.0,0,0.0,2.0,24.0,2,29.0,9,2.0,0.0,0.0,0.0,1202,1.7000000476837158,2.0,0.0,1202,1.7000000476837158,53.0,2.0,0.0,26.5
2023,9,강남대학교,대학,사립,경기,B그룹,0,5.0,0,1,6.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,5.0,0,1.0,6.0,0,0,0,0.0,0.0,0,5.0,0,1.0,6.0,214.5,44,0.0,0,5.0,1.0,0.0,0.0,6885,0.800000011920929,5.0,0.0,6885,0.699999988079071,214.5,7.0,1.0,26.799999237060547
2023,10,강동대학교,전문대학,사립,충북,B그룹,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,1.0,0,0.0,1.0,0,0,0,0,0,0,1.0,0,0.0,1.0,0,0,0,0.0,0.0,0,1.0,0,0.0,1.0,22.0,3,80.0,16,0.0,0.0,1.0,0.0,2982,0.3000000119209289,0.0,1.0,2982,0.3000000119209289,102.0,0.0,1.0,102.0
