YR,RK,SNM,SCR
2017,1,서울대학교,62.23
2017,2,연세대학교,48.53
2017,3,고려대학교,47.94
2017,4,한국과학기술원,47.34
2017,5,성균관대학교,45.71
2017,6,한양대학교,45.56
2017,7,포항공과대학교,45.48
2017,8,경북대학교,44.13
2017,9,경희대학교,43.66
2017,10,부산대학교,43.62
2017,11,광주과학기술원,43.46
2017,12,전남대학교,43.44
2017,13,이화여자대학교,43.38
2017,14,울산대학교,43.34
2017,15,아주대학교,43.16
2017,16,전북대학교,43.16
2017,17,경상국립대학교,43.13
2017,18,가톨릭대학교,43.12
2017,19,인하대학교,43.0
2017,20,건국대학교,42.98
2017,21,충남대학교,42.79
2017,22,서강대학교,42.74
2017,23,울산과학기술원,42.73
2017,24,강원대학교,42.73
2017,25,동국대학교,42.7
2017,26,영남대학교,42.69
2017,27,중앙대학교,42.66
2017,28,세종대학교,42.64
2017,29,서울시립대학교,42.63
2017,30,인제대학교,42.59
2017,31,충북대학교,42.58
2017,32,단국대학교,42.58
2017,33,가천대학교,42.57
2017,34,부경대학교,42.54
2017,35,한림대학교,42.53
2017,36,조선대학교,42.52
