YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCC,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_SPC,FACLT_EQP_UPC,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCC,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_13A,BG3Y_MCS_14B,BG3Y_MCS_15C,BG3Y_BG3Y,VUC_SCC,VUC_VTC_UGRD,VUC_VTC_GRAD,VUC_VTC_FFAC,VUC_VTC_PFAC,VUC_VTC_STF,VUC_VTC_OTH,VUC_VTC_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCC,LPS_LPS,VPS_VC,VPS_SCC,VPS_VPS,STF_FT_HLIBC,STF_FT_NLIBC,STF_PT_HLIBC,STF_PT_NLIBC,STF_TTL_HLIBC,STF_TTL_NLIBC,STF_TTL_SUM,LIBCS_FT_SL1,LIBCS_FT_SL2,LIBCS_FT_ALIB,LIBCS_FT_TTL,LIBCS_PT_SL1,LIBCS_PT_SL2,LIBCS_PT_ALIB,LIBCS_PT_TTL,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCP,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2015,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,5607,0,5607,8558,1000,9558,0,0,1284,0,0,1284,0,0,0,0,1673,1673,1471,0,9558,302,31.600000381469727,1673,9558,21.200000762939453,216,80,1,0,1,216,302,0.699999988079071,7583238000,0,0,0,0,0,0,0,0,9319623000,0,0,0,0,3000000,0,0,3000000,0,302,0.0,0,7583238000,0.0,1831293,2278680,0,-37.8,302,302,0,18,13,28,0,361,5,25,12,0,0,1,0,13,23,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,23,302,0.1000000014901161,25,302,0.1000000014901161,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,302,2.5999999046325684,0,0,302,0.0,0,1,0,0.0
2015,2,가야대학교,대학,사립,경남,C그룹,70622,23814,94436,126414,25798,152212,1,2,8711,0,3,20985,1550,71,1621,3197,4078,7275,5188,0,152212,2814,54.09999847412109,7275,152212,5.0,3729,825,6,32,38,3729,2814,1.2999999523162842,29610873000,52415000,37644703,17530390,6724000,6956077,0,16733775,138003945,31440516000,67000000,25000000,10000000,15000000,15000000,0,15000000,147000000,138003945,2814,49041.9,138003945,29610873000,0.5,150219200,146103210,138003945,-4.1,2814,2638,176,98,117,63,2,3094,16,112247,816,7,36,42,2,903,7384,66,966,1248,16,9680,0,0,353,50,25,23,2,25,0,3,277,7450,2814,2.5999999046325684,112247,2814,39.900001525878906,2,0,1,0,3,0,3,0,2,0,2,0,1,0,1,46,7,2,0,1,0,2814,1.0,2,1,2814,1.100000023841858,46,2,1,15.300000190734863
2015,3,가천대학교,대학,사립,경기,A그룹,304858,124887,429745,754002,166405,920407,49,44,13002,0,93,110816,225,1,226,29119,4592,33711,16381,0,920407,21018,43.79999923706055,33711,920407,3.799999952316284,12345,3223,31,117,148,12345,21018,0.6000000238418579,252035003000,458970945,470910,39225350,1272012540,771023335,0,105332620,2647035700,294754564000,451300000,1200000,57000000,1410000000,621123000,0,145700000,2686323000,2647035700,21018,125941.4,2647035700,252035003000,1.1,1616203021,2025673140,2647035700,28.0,21018,18995,2023,845,1279,274,2318,25734,62,883443,10530,403,225,162,233,11553,76626,4104,3675,2170,1672,88247,0,0,9001,7080,4010,73,263,226,150,47,1105,80730,21018,3.799999952316284,883443,21018,42.0,10,5,4,5,14,10,24,2,7,1,10,0,4,0,4,739,195,10,5,4,5,21018,0.8999999761581421,10,4,21018,0.699999988079071,739,15,9,30.799999237060547
2015,4,가톨릭관동대학교,대학,사립,강원,B그룹,199326,148604,347930,455462,192815,648277,7,11,48479,0,18,97182,760,98,858,11881,2834,14715,9191,0,648277,9686,66.9000015258789,14715,648277,2.299999952316284,8622,1517,35,83,118,8622,9686,0.8999999761581421,273154994000,209489195,88934520,18117650,218085300,132399044,0,50613796,717639505,120519381000,215000000,100100000,18500000,255440000,153656000,0,87287000,829983000,717639505,9686,74090.4,717639505,273154994000,0.3,698922539,694071747,717639505,1.4,9686,9192,494,451,296,255,31,10719,62,487706,10723,232,469,451,31,11906,19580,560,1516,1099,375,23130,0,0,2901,1167,7,9,83,27,86,24,4290,20140,9686,2.0999999046325684,487706,9686,50.400001525878906,4,3,0,4,4,7,11,0,4,0,4,0,0,0,0,502,49,4,3,0,4,9686,0.8999999761581421,4,0,9686,0.4000000059604645,502,7,4,45.59999847412109
2015,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,32454,2005,34459,45429,2454,47883,1,11,355,0,12,1786,113,1,114,1375,282,1657,1465,0,47883,579,82.69999694824219,1657,47883,3.5999999046325684,1727,246,6,23,29,1727,579,3.0,9601888000,25454961,3201000,0,8513887,39330152,0,16500000,93000000,9026851000,23250000,2900000,500000,8750000,41100000,0,16500000,93000000,93000000,579,160621.8,93000000,9601888000,1.0,74547805,74221283,93000000,12.4,579,502,77,22,38,45,0,684,2,48040,415,36,22,19,0,492,4779,470,413,386,0,6048,0,0,17,12,3,0,0,2,1,1,120,5249,579,9.100000381469728,48040,579,83.0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,74,9,1,0,0,0,579,1.7000000476837158,1,0,579,1.7000000476837158,74,1,0,74.0
2015,6,가톨릭대학교,대학,사립,경기,A그룹,355325,179316,534641,664505,336276,1000781,82,69,19322,0,151,81685,2694,991,3685,26099,9772,35871,22936,118,1000781,10899,91.8000030517578,35871,1000781,3.700000047683716,17684,3191,66,203,269,17684,10899,1.600000023841858,212394445000,539772383,138996020,27787350,2504228374,595801552,0,141064466,3947650145,212841156000,563781000,163900000,36000000,2507218109,525233891,0,144394000,3940527000,3947650145,10899,362203.0,3947650145,212394445000,1.9,4141844849,5821393365,3947650145,4.2,10899,8016,2883,1146,780,474,1830,15129,47,1494677,7174,954,1872,300,1173,11473,112415,24374,24539,7563,14331,183222,0,0,3595,3351,1751,224,1461,2381,2544,125,4321,136789,10899,12.600000381469728,1494677,10899,137.10000610351562,19,9,2,0,21,9,30,4,15,0,19,0,1,1,2,672,91,19,9,2,0,10899,2.5999999046325684,19,2,10899,1.899999976158142,672,28,2,22.39999961853028
2015,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,55407,2308,57715,90878,4063,94941,4,4,8052,0,8,8363,53,0,53,2696,597,3293,2182,2533,94941,2055,46.20000076293945,3293,94941,3.5999999046325684,3339,480,8,11,19,3339,2055,1.600000023841858,15745354000,32128622,5573490,1942810,4600000,5405664,0,3000000,52650586,13674915000,33456000,8000000,2500000,6500000,5000000,0,3000000,58456000,52650586,2055,25620.7,52650586,15745354000,0.3,49229350,48584040,52650586,3.5,2055,2055,0,61,150,60,78,2404,37,120216,1074,0,30,45,16,1165,6550,0,240,554,130,7474,0,0,28,8,2,0,0,4,0,17,756,6550,2055,3.200000047683716,120216,2055,58.5,1,0,1,1,2,1,3,0,1,0,1,0,1,0,1,289,28,1,0,1,1,2055,1.100000023841858,1,1,2055,1.0,289,1,2,96.3000030517578
2015,8,감리교신학대학교,대학,사립,서울,C그룹,49164,41172,90336,77275,53920,131195,1,4,4398,0,5,8204,114,35,149,1899,456,2355,2262,0,131195,1550,84.5999984741211,2355,131195,1.7999999523162842,2542,377,8,33,41,2542,1550,1.600000023841858,17470614000,100439987,15606966,301000,6724000,13624020,0,3300000,139995973,18887327000,92000000,17000000,5000000,7000000,15000000,0,4000000,140000000,139995973,1550,90320.0,139995973,17470614000,0.8,143022212,139988422,139995973,-1.1,1550,858,692,28,97,36,304,2015,7,1678,821,621,91,19,109,1661,14537,21328,3219,310,2441,41835,0,0,55,75,32,0,0,12,52,1,70,35865,1550,23.100000381469727,1678,1550,1.100000023841858,3,0,0,0,3,0,3,3,0,0,3,0,0,0,0,117,3,3,0,0,0,1550,1.899999976158142,3,0,1550,1.899999976158142,117,3,0,39.0
2015,9,강남대학교,대학,사립,경기,B그룹,213501,97680,311181,368727,133635,502362,6,6,9015,0,12,17344,140,94,234,5403,919,6322,4324,0,502362,7719,65.0999984741211,6322,502362,1.2999999523162842,4924,801,15,39,54,4924,7719,0.6000000238418579,81788166000,124985160,32911383,6706070,179424957,44233084,0,34961270,423221924,77816615000,149600000,44400000,7000000,176000000,43000000,0,30000000,450000000,423221924,7719,54828.6,423221924,81788166000,0.5,429563599,405995110,423221924,-0.6,7719,7279,440,233,356,114,139,8561,38,261385,3783,116,82,135,6,4122,22724,1011,1091,1906,3200,29932,0,0,10,36,9,26,57,90,46,2,6707,23735,7719,3.0999999046325684,261385,7719,33.900001525878906,4,0,4,3,8,3,11,0,4,0,4,0,4,0,4,139,34,4,0,4,3,7719,1.100000023841858,4,4,7719,1.0,139,4,7,12.600000381469728
2015,10,강동대학교,전문대학,사립,충북,B그룹,41129,334,41463,60161,369,60530,1,0,1928,0,1,5284,107,1,108,1705,3,1708,1407,993,60530,4198,14.399999618530272,1708,60530,2.900000095367432,1055,420,4,8,12,1055,4198,0.3000000119209289,40889778000,50170300,3603000,0,6370000,0,0,59948000,120091300,38645167000,63000000,5000000,0,7000000,0,0,34482000,109482000,120091300,4198,28606.8,120091300,40889778000,0.3,116786895,120858400,120091300,1.4,4198,4198,0,120,283,43,0,4644,50,53062,302,0,20,8,0,330,1496,0,544,227,367,2634,0,0,500,30,0,0,0,0,0,1,264,1496,4198,0.4000000059604645,53062,4198,12.600000381469728,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,7,2,1,0,0,1,4198,0.4000000059604645,1,0,4198,0.2000000029802322,7,1,1,3.5
